Date,Open,High,Low,Close,Adj Close,Volume
2005-07-13,10860.000000,10940.000000,10780.000000,10940.000000,8003.446777,25465000
2005-07-14,10980.000000,11020.000000,10940.000000,10940.000000,8003.446777,28885000
2005-07-15,10960.000000,11000.000000,10780.000000,10840.000000,7930.287109,26105000
2005-07-18,10860.000000,11040.000000,10820.000000,10980.000000,8032.708496,21220000
2005-07-19,11000.000000,11240.000000,10980.000000,11220.000000,8208.288086,33785000
2005-07-20,11240.000000,11340.000000,11100.000000,11160.000000,8164.392578,30025000
2005-07-21,11300.000000,11360.000000,11160.000000,11260.000000,8237.549805,26780000
2005-07-22,11180.000000,11200.000000,10920.000000,11040.000000,8076.604004,27575000
2005-07-25,11040.000000,11140.000000,11040.000000,11100.000000,8120.497070,18455000
2005-07-26,11120.000000,11160.000000,10940.000000,11020.000000,8061.976074,20630000
2005-07-27,11040.000000,11180.000000,10960.000000,11020.000000,8061.976074,18430000
2005-07-28,11040.000000,11320.000000,11040.000000,11200.000000,8193.655273,23655000
2005-07-29,11320.000000,11320.000000,11200.000000,11300.000000,8266.811523,17875000
2005-08-01,11320.000000,11380.000000,11220.000000,11380.000000,8325.340820,16470000
2005-08-02,11400.000000,11420.000000,11240.000000,11360.000000,8310.709961,14250000
2005-08-03,11500.000000,11540.000000,11360.000000,11360.000000,8310.709961,23635000
2005-08-04,11360.000000,11380.000000,11200.000000,11320.000000,8281.442383,18370000
2005-08-05,11220.000000,11220.000000,10960.000000,11060.000000,8091.233398,30100000
2005-08-08,11040.000000,11040.000000,10860.000000,11020.000000,8061.976074,18285000
2005-08-09,11020.000000,11060.000000,10900.000000,11000.000000,8047.340332,20325000
2005-08-10,11100.000000,11240.000000,11060.000000,11100.000000,8120.497070,16480000
2005-08-11,11100.000000,11400.000000,11100.000000,11340.000000,8296.075195,19885000
2005-08-12,11380.000000,11580.000000,11380.000000,11560.000000,8457.019531,24480000
2005-08-15,11560.000000,11560.000000,11560.000000,11560.000000,8457.019531,0
2005-08-16,11560.000000,11640.000000,11380.000000,11440.000000,8369.234375,26040000
2005-08-17,11320.000000,11440.000000,11200.000000,11440.000000,8369.234375,20420000
2005-08-18,11440.000000,11460.000000,11060.000000,11100.000000,8120.497070,33515000
2005-08-19,11100.000000,11120.000000,10980.000000,11060.000000,8091.233398,20935000
2005-08-22,11060.000000,11400.000000,11060.000000,11260.000000,8237.549805,19550000
2005-08-23,11280.000000,11380.000000,11200.000000,11240.000000,8222.916016,18770000
